EAN;KOD;Regał;Półka;Data przyjęcia;Data ważności;STAN
4015637009001;;Y;3;26.05.2025;01.03.2026;1
4015637823522;;B;1;28.08.2025;01.02.2026;2
4015637824130;;B;5;19.05.2025;01.05.2026;1
4015637827339;;Y;3;30.04.2025;01.11.2025;1
4016249003531;;F;1;28.07.2025;01.10.2026;1
4016249017033;;Y;4;08.09.2025;18.07.2026;2
4016249150365;;C;2;16.06.2025;01.04.2026;1
4016249172350;;T;3;28.08.2025;01.04.2026;1
4016249281601;;C;6;10.02.2025;01.12.2025;1
4018462161401;;M;5;14.04.2025;01.05.2026;1
4018462196007;;P;2;29.11.2024;28.08.2025;1
4018722302575;;S;5;16.06.2025;01.02.2028;1
4018722302575;;T;3;07.07.2025;01.02.2028;1
4019555100321;;B;6;16.06.2025;01.01.2027;1
4019555100536;;K;4;07.04.2025;01.01.2027;1
4019555700125;;C;3;12.05.2025;01.01.2027;1
4019555700200;;B;6;16.06.2025;01.01.2027;1
4019555705649;;Y;2;08.09.2025;01.01.2029;1
4019555706004;;K;1;14.08.2025;01.01.2027;1
4019736000754;;S;5;28.08.2025;01.05.2028;1
4019736004134;;S;5;28.08.2025;01.03.2027;1
4019736008859;;R;2;28.07.2025;01.05.2027;1
4025089073765;;H;3;10.03.2025;01.02.2027;1
4025089081289;;M;3;14.07.2025;01.05.2027;1
4025089086178;;Y;3;26.05.2025;01.12.2026;1
4027521311701;;E;7;14.06.2024;15.01.2029;1
4030917056506;;I;5;11.08.2025;01.03.2027;2
4030917057305;;M;4;19.05.2025;01.09.2026;1
4030917057701;;K;1;12.05.2025;01.09.2026;1
4030917057909;;L;1;19.05.2025;01.09.2026;1
4035129013309;;M;3;17.03.2025;01.08.2026;1
4038375024419;;W;3;08.09.2025;22.04.2026;1
4038375024600;;C;3;28.08.2025;01.02.2026;2
4038375025003;;G;4;07.07.2025;01.02.2026;2
4038375025461;;K;5;14.08.2025;01.05.2026;5
4044889001006;;A;4;30.06.2025;01.04.2027;1
4044889001037;;U;6;26.05.2025;01.08.2026;1
4044889002263;;B;1;30.06.2025;01.01.2027;4
4044889002515;;U;2;07.10.2024;01.09.2025;1
4044889002522;;H;1;07.07.2025;01.12.2026;3
4044889002553;;H;1;07.07.2025;01.05.2026;1
4044889003192;;C;3;14.07.2025;01.06.2026;1
4044889004571;;U;6;07.07.2025;01.07.2026;1
4044889004595;;U;6;07.07.2025;01.07.2026;1
4044889004601;;Y;5;03.03.2025;01.09.2025;1
4044889004625;;U;6;07.07.2025;01.05.2026;1
4044889004786;;M;2;28.07.2025;01.03.2026;3
4044889004816;;A;3;16.12.2024;01.09.2025;1
4044889004861;;E;1;28.08.2025;01.09.2026;2
4044889012255;;L;1;14.06.2024;01.10.2025;1
4048885051430;;W;1;28.07.2025;01.07.2026;1
4048885051447;;C;2;23.06.2025;01.07.2026;2
4048885051492;;C;2;23.06.2025;01.07.2026;2
4054451250046;;K;2;14.08.2025;20.01.2027;3
4054451250046;;W;5;14.08.2025;20.01.2027;1
4055297220262;;Y;3;26.05.2025;01.01.2027;1
4055297221405;;R;2;12.05.2025;01.01.2028;1
4055297221467;;T;2;14.07.2025;01.01.2027;1
4106060044759;;H;3;10.03.2025;01.07.2026;1
4106060047675;;M;1;10.03.2025;01.09.2026;1
4106060076026;;O;5;15.07.2024;03.05.2027;1
42099901;;B;1;19.05.2025;01.11.2025;1
4250448346918;;A;6;17.02.2025;01.01.2026;1
4260058843479;;I;4;03.03.2025;01.10.2025;1
4260058843479;;B;5;03.03.2025;01.10.2025;1
4260183213079;;B;6;28.07.2025;01.11.2026;1
4260183213130;;Y;4;08.09.2025;18.01.2027;2
4260183213529;;B;5;03.02.2025;01.01.2026;1
4260183213529;;W;2;10.02.2025;01.01.2026;1
4260183213529;;N;1;10.03.2025;01.01.2026;1
4260183213529;;O;1;09.06.2025;01.04.2026;1
4260237451129;;M;3;22.03.2025;01.09.2025;1
4260237451129;;N;5;07.04.2025;01.09.2025;1
4260237453581;;A;2;22.04.2025;01.02.2026;1
4260249140028;;T;1;21.07.2025;01.02.2026;1
4260249140035;;L;4;10.02.2025;01.11.2025;1
4260249140035;;C;3;17.02.2025;01.11.2025;2
4260249140288;;S;1;28.07.2025;01.02.2026;1
4260249143647;;B;3;09.06.2025;01.10.2025;1
4260249143647;;A;3;09.06.2025;01.01.2026;1
4260311980408;;H;4;24.02.2025;01.10.2025;1
4260311983232;;P;5;07.01.2025;01.10.2025;1
4260311983256;;P;5;07.01.2025;01.10.2025;1
4260311983522;;W;5;09.09.2024;01.09.2025;1
4260311984673;;W;4;30.04.2025;01.02.2026;2
4260311984673;;U;4;28.08.2025;01.02.2026;2
4260311984758;;Y;3;21.07.2025;01.06.2026;7
4260311985311;;B;4;08.09.2025;06.03.2026;2
4260595857984;;E;1;04.08.2025;01.01.2029;1
4260618520161;;H;1;03.03.2025;01.11.2025;2
4260618525593;;H;1;23.12.2024;01.11.2025;1
4260618528600;;Y;5;21.07.2025;01.05.2026;1
4262367681322;;U;3;17.03.2025;01.11.2025;2
4262367681322;;H;2;31.03.2025;01.11.2025;1
4262367681322;;U;2;22.04.2025;01.11.2025;2
4262367681322;;W;5;30.04.2025;01.11.2025;1
4262367681865;;X;4;07.01.2025;01.10.2025;1
4262367681865;;W;5;20.01.2025;01.10.2025;3
4262367681865;;C;1;10.02.2025;01.10.2025;2
4262367681865;;Y;5;21.07.2025;01.12.2025;3
4262367681865;;Y;5;21.07.2025;01.12.2025;3
4262397070134;;A;6;01.09.2025;30.01.2026;2
4262448378233;;E;5;01.09.2025;01.01.2029;1
4270000598210;;T;4;04.08.2025;01.03.2026;1
4316734069043;;K;2;10.03.2025;01.10.2026;2
4316734763651;;H;2;31.03.2025;01.11.2026;2
4743318101293;;P;4;09.06.2025;01.01.2027;1
4744481012010;;K;1;14.08.2025;10.02.2026;1
4751022365559;;M;5;28.08.2025;01.03.2026;2
4751022365597;;P;1;29.08.2025;01.12.2026;1
4770405228847;;J;2;14.08.2025;18.06.2027;3
4779030680075;;F;6;04.08.2025;01.01.2027;2
4779030680082;;C;3;28.08.2025;01.01.2027;1
4779039731143;;R;3;31.03.2025;01.06.2026;1
4779039732249;;R;2;31.03.2025;01.05.2026;1
4779048080799;;B;6;14.06.2024;01.01.2026;1
4820058210413;;U;5;04.08.2025;01.01.2027;1
4820148056785;;Y;2;07.01.2025;01.09.2025;1
4820219347484;;X;3;01.09.2025;13.04.2026;4
4820219347507;;Y;1;21.07.2025;01.05.2026;1
4820219347507;;W;5;28.07.2025;01.05.2026;2
4820219349280;;W;1;30.06.2025;01.04.2026;2
4850001114062;;W;2;10.03.2025;01.02.2026;2
4860019002817;;I;2;26.05.2025;01.01.2027;1
4891635809108;;F;2;14.06.2024;20.01.2029;1
4902506072641;;E;8;14.06.2024;23.01.2029;1
5021991938757;;A;2;28.08.2025;01.04.2027;1
5021991941597;;F;6;04.08.2025;01.07.2027;1
5021991941733;;B;7;14.08.2025;29.04.2027;1
5021991941740;;A;3;23.06.2025;01.03.2027;1
5021991944949;;A;2;07.01.2025;01.11.2026;1
5022496012829;;G;2;04.08.2025;01.01.2027;1
5022496016858;;U;3;31.03.2025;01.01.2026;1
5022496016919;;P;4;09.06.2025;01.01.2027;1
5022496016940;;J;3;09.06.2025;01.01.2027;1
5060583260029;;U;3;01.09.2025;10.02.2028;7
5200118472668;;X;1;06.06.2025;01.03.2026;1
5200300106319;;S;1;28.07.2025;01.02.2027;1
5400164142199;;Y;3;26.05.2025;01.07.2026;1
5400164154093;;G;4;07.07.2025;01.10.2025;1
5400164241496;;J;1;07.04.2025;01.11.2025;2
5400164241496;;X;5;18.04.2025;01.11.2025;1
5411788037891;;W;1;26.05.2025;01.07.2026;1
5411788044745;;H;4;28.08.2025;01.02.2027;1
5411788046435;;I;4;11.08.2025;01.09.2026;1
5412360001750;;x;4;14.06.2024;01.10.2027;1
5412360015252;;N;1;09.12.2024;01.01.2026;1
5412360023097;;B;1;14.06.2024;01.01.2028;1
5601159206883;;U;2;28.07.2025;01.12.2029;3
5601159206890;;N;4;04.08.2025;01.11.2028;3
5701058013091;;T;1;13.01.2025;01.03.2026;1
5701410332037;;T;4;12.05.2025;01.01.2029;1
5701410409241;;Y;4;08.09.2025;01.09.2029;1
5701410410872;;H;3;06.09.2024;01.12.2027;1
5701410419479;;O;4;04.08.2025;01.01.2029;3
5765228835906;;A;1;23.12.2024;01.09.2026;1
5765228838020;;G;5;04.08.2025;01.06.2027;1
5900028007751;;N;2;21.07.2025;01.05.2026;1
5900038001022;;B;5;28.07.2025;01.03.2026;3
5900038001046;;N;4;19.05.2025;01.04.2026;2
5900038001916;;N;1;28.08.2025;01.06.2026;16
5900038001923;;F;6;14.08.2025;01.05.2026;4
5900038001930;;L;4;16.06.2025;01.03.2026;7
5900038001930;;M;2;08.09.2025;01.03.2026;3
5900038001954;;M;2;08.09.2025;01.11.2025;1
5900038001961;;N;3;09.06.2025;01.04.2026;10
5900038001978;;I;1;28.07.2025;01.05.2026;17
5900038001985;;W;5;21.07.2025;01.05.2026;16
5900038001985;;M;2;08.09.2025;01.05.2026;2
5900038002197;;P;1;14.07.2025;01.05.2026;11
5900038002203;;P;1;14.07.2025;01.05.2026;8
5900038002326;;K;4;28.08.2025;01.05.2026;5
5900038002333;;R;2;11.08.2025;01.06.2026;1
5900038002371;;H;2;04.08.2025;01.12.2026;3
5900038002395;;N;4;08.09.2025;01.05.2026;9
5900038002432;;F;6;14.08.2025;01.01.2027;24
5900038003378;;A;5;11.08.2025;01.05.2026;1
5900038003491;;Y;6;02.06.2025;01.05.2026;4
5900038003507;;Y;2;30.06.2025;01.07.2026;6
5900038003514;;N;4;30.04.2025;01.06.2026;1
5900038003514;;B;3;26.05.2025;01.04.2026;2
5900038003545;;N;2;28.07.2025;01.05.2026;1
5900038003682;;M;2;28.07.2025;01.07.2026;5
5900038003699;;B;4;08.09.2025;21.06.2026;8
5900238562194;;P;9;01.09.2025;23.06.2026;5
5900238562354;;J;6;01.09.2025;02.07.2026;2
5900238562378;;J;6;01.09.2025;04.07.2026;2
5900354036265;;U;4;02.06.2025;01.04.2027;1
5900354039679;;C;1;16.06.2025;01.04.2026;1
5900354039716;;S;5;12.05.2025;01.01.2026;2
5900354039822;;O;5;14.07.2025;01.02.2026;2
5900652816149;;L;5;28.08.2025;01.03.2026;1
5900900002850;;B;3;12.05.2025;01.03.2027;1
5900900003574;;I;5;14.06.2024;01.03.2026;1
5901130001705;;D;2;14.06.2024;26.01.2029;1
5901130354443;;Y;3;08.09.2025;01.01.2026;1
5901299954188;;D;5;22.03.2025;22.04.2025;1
5901389562729;;D;3;14.06.2024;28.01.2029;4
5901389564587;;E;8;14.06.2024;29.01.2029;1
5901466229729;;D;5;14.06.2024;30.01.2029;1
5901498057352;;D;3;14.06.2024;31.01.2029;1
5901500680066;;T;1;08.09.2025;01.06.2026;2
5901503652534;;E;3;14.06.2024;02.02.2029;9
5901549275032;;L;3;16.06.2025;01.07.2026;1
5901549275377;;T;2;27.01.2025;01.03.2026;1
5901549275742;;G;3;17.03.2025;01.07.2026;1
5901583295836;;D;5;22.03.2025;23.04.2025;1
5901597385103;;J;5;26.05.2025;01.01.2026;4
5901597385103;;X;4;02.06.2025;01.01.2026;5
5901597385127;;F;3;31.03.2025;01.12.2025;3
5901597385127;;R;1;22.04.2025;01.12.2025;1
5901597385462;;Y;3;23.06.2025;01.12.2025;1
5901597385462;;R;4;23.06.2025;01.12.2025;6
5901597385479;;O;2;19.05.2025;01.01.2026;12
5901597385745;;T;5;21.07.2025;01.06.2026;7
5901641001386;;I;2;26.05.2025;01.01.2027;1
5901641001461;;N;5;17.03.2025;01.12.2026;1
5901641001577;;Y;4;07.07.2025;01.03.2027;1
5901641001577;;W;4;07.07.2025;01.03.2027;2
5901641001867;;M;1;11.08.2025;01.02.2027;2
5901641002246;;X;4;16.06.2025;01.09.2026;1
5901641005971;;G;5;31.03.2025;01.03.2026;1
5901716993691;;Y;4;14.06.2024;01.08.2026;3
5901785341300;;C;3;16.12.2024;01.11.2025;1
5901866000218;;M;4;02.09.2024;18.03.2027;1
5901866001062;;M;3;27.01.2025;01.09.2025;1
5901866005497;;U;2;08.09.2025;29.05.2026;1
